A&E,2016-08-29,p25_54,L3D,5.74,6897,1.35,72.31,1260
AMC,2016-08-29,p25_54,L3D,6.62,7950,1.18,62.49,1260
APL,2016-08-29,p25_54,L3D,3.08,3705,1.20,59.92,1260
AHC,2016-08-29,p25_54,L3D,0.78,940,1.28,61.02,1260
BRAV,2016-08-29,p25_54,L3D,4.40,5286,1.72,86.39,1260
CMDY,2016-08-29,p25_54,L3D,4.12,4947,1.24,60.46,1260
CMT,2016-08-29,p25_54,L3D,2.07,2490,1.18,50.47,1260
CNBC,2016-08-29,p25_54,L3D,2.09,2512,1.28,58.78,1260
CNN,2016-08-29,p25_54,L3D,3.61,4341,1.66,81.98,1260
DISC,2016-08-29,p25_54,L3D,5.76,6917,1.35,67.34,1260
DAM,2016-08-29,p25_54,L3D,1.01,1213,1.42,76.33,1260
DSE,2016-08-29,p25_54,L3D,0.80,957,1.58,71.61,1260
DFAM,2016-08-29,p25_54,L3D,0.24,289,1.53,66.86,1260
DFC,2016-08-29,p25_54,L3D,0.82,985,1.13,48.48,1260
DLC,2016-08-29,p25_54,L3D,0.45,544,1.33,70.32,1260
E,2016-08-29,p25_54,L3D,4.58,5498,1.37,63.92,1260
ESPN,2016-08-29,p25_54,L3D,8.77,10539,1.38,73.54,1260
FOOD,2016-08-29,p25_54,L3D,5.79,6959,1.44,68.97,1260
FOXN,2016-08-29,p25_54,L3D,3.74,4498,2.06,105.30,1260
FX,2016-08-29,p25_54,L3D,6.70,8052,1.28,68.84,1260
FYI,2016-08-29,p25_54,L3D,1.57,1888,1.18,57.22,1260
FS1,2016-08-29,p25_54,L3D,2.80,3364,1.14,47.60,1260
FRFM,2016-08-29,p25_54,L3D,4.95,5945,1.36,84.49,1260
HALL,2016-08-29,p25_54,L3D,2.84,3418,1.67,90.53,1260
HGTV,2016-08-29,p25_54,L3D,7.48,8991,1.58,75.50,1260
HIST,2016-08-29,p25_54,L3D,6.60,7937,1.40,72.43,1260
HLN,2016-08-29,p25_54,L3D,1.76,2120,1.35,57.80,1260
ID,2016-08-29,p25_54,L3D,3.74,4489,1.84,116.69,1260
LIF,2016-08-29,p25_54,L3D,4.60,5530,1.32,84.31,1260
MSNB,2016-08-29,p25_54,L3D,2.48,2979,2.01,115.48,1260
MTV,2016-08-29,p25_54,L3D,4.75,5713,1.24,53.94,1260
NBCS,2016-08-29,p25_54,L3D,1.00,1202,1.08,47.25,1260
NFLN,2016-08-29,p25_54,L3D,4.23,5078,1.33,61.79,1260
NGC,2016-08-29,p25_54,L3D,3.64,4372,1.20,57.56,1260
NGWD,2016-08-29,p25_54,L3D,1.34,1605,1.18,60.93,1260
SCI,2016-08-29,p25_54,L3D,2.09,2515,1.27,58.67,1260
SPK,2016-08-29,p25_54,L3D,4.99,5994,1.23,64.63,1260
SYFY,2016-08-29,p25_54,L3D,4.49,5390,1.23,64.13,1260
TBSC,2016-08-29,p25_54,L3D,7.40,8893,1.59,85.30,1260
TLC,2016-08-29,p25_54,L3D,4.16,4994,1.30,69.33,1260
TRAV,2016-08-29,p25_54,L3D,3.13,3765,1.29,67.79,1260
TRU,2016-08-29,p25_54,L3D,2.93,3516,1.47,69.79,1260
USA,2016-08-29,p25_54,L3D,9.12,10958,1.38,84.23,1260
VH1,2016-08-29,p25_54,L3D,3.88,4663,1.28,66.47,1260
VEL,2016-08-29,p25_54,L3D,1.46,1755,1.44,61.58,1260
VICE,2016-08-29,p25_54,L3D,1.05,1264,1.37,61.35,1260
WETV,2016-08-29,p25_54,L3D,2.34,2810,1.21,73.15,1260
